example_id                                               | status  | run_time        |
-------------------------------------------------------- | ------- | --------------- |
./spec/controllers/releases_controller_spec.rb[1:1:1]    | pending | 0.00047 seconds |
./spec/controllers/releases_controller_spec.rb[1:2:1]    | pending | 0.00052 seconds |
./spec/controllers/releases_controller_spec.rb[1:3:1]    | failed  | 0.00279 seconds |
./spec/controllers/releases_controller_spec.rb[1:4:1]    | pending | 0.00046 seconds |
./spec/controllers/releases_controller_spec.rb[1:5:1:1]  | pending | 0.0065 seconds  |
./spec/controllers/releases_controller_spec.rb[1:5:1:2]  | pending | 0.00061 seconds |
./spec/controllers/releases_controller_spec.rb[1:5:2:1]  | pending | 0.00056 seconds |
./spec/controllers/releases_controller_spec.rb[1:6:1:1]  | pending | 0.00057 seconds |
./spec/controllers/releases_controller_spec.rb[1:6:1:2]  | pending | 0.00287 seconds |
./spec/controllers/releases_controller_spec.rb[1:6:2:1]  | pending | 0.00056 seconds |
./spec/controllers/releases_controller_spec.rb[1:7:1]    | pending | 0.00049 seconds |
./spec/controllers/releases_controller_spec.rb[1:7:2]    | pending | 0.0007 seconds  |
./spec/features/authentications_spec.rb[1:1]             | passed  | 0.42577 seconds |
./spec/features/authentications_spec.rb[1:2]             | passed  | 0.04271 seconds |
./spec/features/authentications_spec.rb[1:3]             | pending | 0.00002 seconds |
./spec/models/app_spec.rb[1:1]                           | pending | 0.00002 seconds |
./spec/models/release_spec.rb[1:1]                       | pending | 0.00002 seconds |
./spec/routing/releases_routing_spec.rb[1:1:1]           | failed  | 0.0006 seconds  |
./spec/routing/releases_routing_spec.rb[1:1:2]           | failed  | 0.00083 seconds |
./spec/routing/releases_routing_spec.rb[1:1:3]           | failed  | 0.01083 seconds |
./spec/routing/releases_routing_spec.rb[1:1:4]           | failed  | 0.00073 seconds |
./spec/routing/releases_routing_spec.rb[1:1:5]           | failed  | 0.00072 seconds |
./spec/routing/releases_routing_spec.rb[1:1:6]           | failed  | 0.00106 seconds |
./spec/routing/releases_routing_spec.rb[1:1:7]           | failed  | 0.0006 seconds  |
./spec/routing/releases_routing_spec.rb[1:1:8]           | failed  | 0.00066 seconds |
./spec/views/application/_navbar.html.erb_spec.rb[1:1:1] | passed  | 0.00209 seconds |
./spec/views/application/_navbar.html.erb_spec.rb[1:1:2] | passed  | 0.04903 seconds |
./spec/views/application/_navbar.html.erb_spec.rb[1:2:1] | passed  | 0.00144 seconds |
./spec/views/releases/new.html.slim_spec.rb[1:1]         | failed  | 0.16765 seconds |
